"filename", "language", "Properties", "Markdown", "SQLite", "JSON", "JSON with Comments", "JavaScript", "PHP", "PostCSS", "XML", "Docker", "TypeScript", "YAML", "comment", "blank", "total"
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\7777fcbb2ee4f07a3f03e03c2db6b1a7.php", "PHP", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\79d077736a92f72faf4623831507bedb.php", "PHP", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 14, 60
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\97570e7f401c1518e896fac0a72db289.php", "PHP", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 8, 164
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\aa1d07ece745088f5315aad7a139ef42.php", "PHP", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\b95ea80a83614489f07ef0c2706c5a97.php", "PHP", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\e1a333eb20190c1dd9986c8891aed262.php", "PHP", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\e595db8bf302839146177c246bf88c0f.php", "PHP", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\css\dashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 429, 0, 0, 0, 0, 0, 50, 479
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\index.php", "PHP", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 7, 21
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 6, 26, 151
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\js\api.js", "JavaScript", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 21, 24, 180
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 7, 11, 62
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\js\koleksi.js", "JavaScript", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 14, 14, 124
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\aktivitas.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 1143, 0, 0, 0, 0, 0, 89, 183, 1415
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\components\loading-button.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\components\modal-aktivitas.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 481, 0, 0, 0, 0, 0, 28, 51, 560
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\components\modal-detail.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 4, 15, 147
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\components\modal-edit.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 389, 0, 0, 0, 0, 0, 24, 35, 448
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\components\modal-tambah.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 16, 36, 457
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\components\sidebar.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 5, 17, 227
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\dashboard.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 14, 230
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\koleksi.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 962, 0, 0, 0, 0, 0, 66, 127, 1155
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\koleksi_error.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 404, 0, 0, 0, 0, 0, 17, 44, 465
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\login.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 3, 13, 198
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\resources\views\welcome.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 9, 280
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\routes\api.php", "PHP", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 5, 18
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\routes\console.php", "PHP", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\routes\web.php", "PHP", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 10, 54
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\tests\Feature\ExampleTest.php", "PHP", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 5, 20
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\tests\TestCase.php", "PHP", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 4, 11
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\tests\Unit\ExampleTest.php", "PHP", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Aplikasi\VSCode\Perpustakaan - WHN\package-lock.json", "JSON", 0, 0, 0, 4147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4148
"d:\Aplikasi\VSCode\Perpustakaan - WHN\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Aplikasi\VSCode\Perpustakaan - WHN\src\config\database.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\Aplikasi\VSCode\Perpustakaan - WHN\src\controllers\aktivitas.controllers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 20, 37, 242
"d:\Aplikasi\VSCode\Perpustakaan - WHN\src\controllers\koleksi.controllers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 15, 29, 189
"d:\Aplikasi\VSCode\Perpustakaan - WHN\src\controllers\mahasiswa.controllers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 4, 11, 64
"d:\Aplikasi\VSCode\Perpustakaan - WHN\src\controllers\test.contollers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 4, 7, 42
"d:\Aplikasi\VSCode\Perpustakaan - WHN\src\routes\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 4, 9, 59
"d:\Aplikasi\VSCode\Perpustakaan - WHN\src\server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 5, 21
"d:\Aplikasi\VSCode\Perpustakaan - WHN\test_api.js", "JavaScript", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 22, 36, 254
"d:\Aplikasi\VSCode\Perpustakaan - WHN\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 93, 9, 114
"Total", "-", 6, 2292, 45, 15096, 12, 965, 7245, 548, 34, 16, 481, 43, 1328, 1975, 30086
